topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption
196,Suez Crisis 1956,Empire's last GASP.,"Create a 30-second vertical history short about Suez Crisis 1956. Hook: Empire's last GASP. Cover: Britain France Israel invaded Egypt over canal — a key part of the story of Suez Crisis 1956. US and USSR forced them to withdraw — a key part of the story of Suez Crisis 1956. Humiliated Britain and France globally — a key part of the story of Suez Crisis 1956. Nasser became Arab hero — a key part of the story of Suez Crisis 1956. Marked end of British imperial power — a key part of the story of Suez Crisis 1956. Britain's last imperial adventure. Failed. The events surrounding Suez Crisis 1956 reveal how quickly history can turn on a single decision. From classrooms to documentaries, Suez Crisis 1956 remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Britain France Israel invaded Egypt over canal — a key part of the story of Suez Crisis 1956. | US and USSR forced them to withdraw — a key part of the story of Suez Crisis 1956. | Humiliated Britain and France globally — a key part of the story of Suez Crisis 1956. | Nasser became Arab hero — a key part of the story of Suez Crisis 1956. | Marked end of British imperial power — a key part of the story of Suez Crisis 1956. | Britain's last imperial adventure. Failed. | The events surrounding Suez Crisis 1956 reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Suez Crisis 1956 remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Suez_Crisis.jpg,#SuezCrisis #ColdWar #BritishEmpire #HistoryTok,Britain's last imperial adventure. Failed. #SuezCrisis #ColdWar #BritishEmpire #HistoryTok
197,Arab-Israeli War 1948,One day. Forever WAR.,"Create a 30-second vertical history short about Arab-Israeli War 1948. Hook: One day. Forever WAR. Cover: Israel declared independence May 14 1948 — a key part of the story of Arab-Israeli War 1948. Arab states invaded next day — a key part of the story of Arab-Israeli War 1948. 700,000 Palestinians displaced Nakba — a key part of the story of Arab-Israeli War 1948. Israel survived and expanded territory — a key part of the story of Arab-Israeli War 1948. Conflict unresolved 75+ years later — a key part of the story of Arab-Israeli War 1948. One declaration. 75 years of war. Civilians and soldiers alike bore the devastating human cost of Arab-Israeli War 1948. The consequences of Arab-Israeli War 1948 echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Israel declared independence May 14 1948 — a key part of the story of Arab-Israeli War 1948. | Arab states invaded next day — a key part of the story of Arab-Israeli War 1948. | 700,000 Palestinians displaced Nakba — a key part of the story of Arab-Israeli War 1948. | Israel survived and expanded territory — a key part of the story of Arab-Israeli War 1948. | Conflict unresolved 75+ years later — a key part of the story of Arab-Israeli War 1948. | One declaration. 75 years of war. | Civilians and soldiers alike bore the devastating human cost of Arab-Israeli War 1948. | The consequences of Arab-Israeli War 1948 echoed for generations after the fighting stopped.",https://upload.wikimedia.org/wikipedia/commons/4/4e/1948_Arab-Israeli_War_map.jpg,#1948War #MiddleEast #Israel #HistoryTok,One declaration. 75 years of war. #1948War #MiddleEast #Israel #HistoryTok
198,Second Sino-Japanese War,"Rape of Nanking. 300,000 DEAD.","Create a 30-second vertical history short about Second Sino-Japanese War. Hook: Rape of Nanking. 300,000 DEAD. Cover: Japan invaded China 1937 full-scale war — a key part of the story of Second Sino-Japanese War. Nanking Massacre December 1937 300,000 killed — a key part of the story of Second Sino-Japanese War. Merged into Pacific theater of WWII — a key part of the story of Second Sino-Japanese War. Estimated 15-20 million Chinese deaths total — a key part of the story of Second Sino-Japanese War. War crimes trials held after 1945 — a key part of the story of Second Sino-Japanese War. 300,000 in six weeks. History's darkest chapter. Civilians and soldiers alike bore the devastating human cost of Second Sino-Japanese War. The consequences of Second Sino-Japanese War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Japan invaded China 1937 full-scale war — a key part of the story of Second Sino-Japanese War. | Nanking Massacre December 1937 300,000 killed — a key part of the story of Second Sino-Japanese War. | Merged into Pacific theater of WWII — a key part of the story of Second Sino-Japanese War. | Estimated 15-20 million Chinese deaths total — a key part of the story of Second Sino-Japanese War. | War crimes trials held after 1945 — a key part of the story of Second Sino-Japanese War. | 300,000 in six weeks. History's darkest chapter. | Civilians and soldiers alike bore the devastating human cost of Second Sino-Japanese War. | The consequences of Second Sino-Japanese War echoed for generations after the fighting stopped.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Nanking_Massacre.jpg,#SinoJapaneseWar #WW2 #China #HistoryTok,"300,000 in six weeks. History's darkest chapter. #SinoJapaneseWar #WW2 #China #HistoryTok"
199,Nanking Massacre,"Six weeks. 300,000 DEAD.","Create a 30-second vertical history short about Nanking Massacre. Hook: Six weeks. 300,000 DEAD. Cover: Japanese troops captured Nanking December 1937 — a key part of the story of Nanking Massacre. Six-week orgy of killing rape and looting — a key part of the story of Nanking Massacre. Estimated 200,000-300,000 civilians murdered — a key part of the story of Nanking Massacre. International Safety Zone saved some lives — a key part of the story of Nanking Massacre. Denial and debate continue today — a key part of the story of Nanking Massacre. 300,000 dead in six weeks. Never forget. The events surrounding Nanking Massacre reveal how quickly history can turn on a single decision. From classrooms to documentaries, Nanking Massacre remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Japanese troops captured Nanking December 1937 — a key part of the story of Nanking Massacre. | Six-week orgy of killing rape and looting — a key part of the story of Nanking Massacre. | Estimated 200,000-300,000 civilians murdered — a key part of the story of Nanking Massacre. | International Safety Zone saved some lives — a key part of the story of Nanking Massacre. | Denial and debate continue today — a key part of the story of Nanking Massacre. | 300,000 dead in six weeks. Never forget. | The events surrounding Nanking Massacre reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Nanking Massacre remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Nanking_Massacre_memorial.jpg,#Nanking #WW2 #WarCrimes #HistoryMatters,"300,000 dead in six weeks. Never forget. #Nanking #WW2 #WarCrimes #HistoryMatters"
200,Battle of Waterloo,One day. Napoleon FINISHED.,"Create a 30-second vertical history short about Battle of Waterloo. Hook: One day. Napoleon FINISHED. Cover: Fought June 18 1815 in Belgium — a key part of the story of Battle of Waterloo. Wellington and Blucher defeated Napoleon — a key part of the story of Battle of Waterloo. Napoleon's final defeat after return from Elba — a key part of the story of Battle of Waterloo. Ended Napoleonic Wars in Europe — a key part of the story of Battle of Waterloo. Redrew European map at Congress of Vienna — a key part of the story of Battle of Waterloo. One battle. One emperor. Finished. The outcome of Battle of Waterloo reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Waterloo. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Fought June 18 1815 in Belgium — a key part of the story of Battle of Waterloo. | Wellington and Blucher defeated Napoleon — a key part of the story of Battle of Waterloo. | Napoleon's final defeat after return from Elba — a key part of the story of Battle of Waterloo. | Ended Napoleonic Wars in Europe — a key part of the story of Battle of Waterloo. | Redrew European map at Congress of Vienna — a key part of the story of Battle of Waterloo. | One battle. One emperor. Finished. | The outcome of Battle of Waterloo reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Waterloo.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Battle_of_Waterloo_1815.PNG,#Waterloo #Napoleon #MilitaryHistory #HistoryTok,One battle. One emperor. Finished. #Waterloo #Napoleon #MilitaryHistory #HistoryTok
201,Battle of Gettysburg,3 days. Turning point.,"Create a 30-second vertical history short about Battle of Gettysburg. Hook: 3 days. Turning point. Cover: Fought July 1-3 1863 in Pennsylvania — a key part of the story of Battle of Gettysburg. Bloodiest battle of American Civil War — a key part of the story of Battle of Gettysburg. Pickett's Charge failed on day three — a key part of the story of Battle of Gettysburg. 51,000 casualties in three days — a key part of the story of Battle of Gettysburg. Lincoln's Address four months later — a key part of the story of Battle of Gettysburg. Three days. 51,000 casualties. Union saved. The outcome of Battle of Gettysburg reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Gettysburg. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Fought July 1-3 1863 in Pennsylvania — a key part of the story of Battle of Gettysburg. | Bloodiest battle of American Civil War — a key part of the story of Battle of Gettysburg. | Pickett's Charge failed on day three — a key part of the story of Battle of Gettysburg. | 51,000 casualties in three days — a key part of the story of Battle of Gettysburg. | Lincoln's Address four months later — a key part of the story of Battle of Gettysburg. | Three days. 51,000 casualties. Union saved. | The outcome of Battle of Gettysburg reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Gettysburg.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Gettysburg_Battlefield.jpg,#Gettysburg #CivilWar #AmericanHistory #HistoryTok,"Three days. 51,000 casualties. Union saved. #Gettysburg #CivilWar #AmericanHistory #HistoryTok"
202,Normandy Breakout,Liberation of FRANCE.,"Create a 30-second vertical history short about Normandy Breakout. Hook: Liberation of FRANCE. Cover: Allied breakout from Normandy July-August 1944 — a key part of the story of Normandy Breakout. Operation Cobra punched through German lines — a key part of the story of Normandy Breakout. Paris liberated August 25 1944 — a key part of the story of Normandy Breakout. Falaise Pocket trapped German army — a key part of the story of Normandy Breakout. Opened road to Germany — a key part of the story of Normandy Breakout. From beachhead to Paris in weeks. The events surrounding Normandy Breakout reveal how quickly history can turn on a single decision. From classrooms to documentaries, Normandy Breakout remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Allied breakout from Normandy July-August 1944 — a key part of the story of Normandy Breakout. | Operation Cobra punched through German lines — a key part of the story of Normandy Breakout. | Paris liberated August 25 1944 — a key part of the story of Normandy Breakout. | Falaise Pocket trapped German army — a key part of the story of Normandy Breakout. | Opened road to Germany — a key part of the story of Normandy Breakout. | From beachhead to Paris in weeks. | The events surrounding Normandy Breakout reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Normandy Breakout remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Liberation_of_Paris.jpg,#Normandy #WW2 #Liberation #HistoryTok,From beachhead to Paris in weeks. #Normandy #WW2 #Liberation #HistoryTok
203,Dien Bien Phu,France's last stand in ASIA.,"Create a 30-second vertical history short about Dien Bien Phu. Hook: France's last stand in ASIA. Cover: Viet Minh besieged French base 1954 — a key part of the story of Dien Bien Phu. Giap's forces defeated French after 57 days — a key part of the story of Dien Bien Phu. Ended French colonial rule in Indochina — a key part of the story of Dien Bien Phu. Led to division of Vietnam — a key part of the story of Dien Bien Phu. Foreshadowed American involvement — a key part of the story of Dien Bien Phu. France's last stand. America watched. The events surrounding Dien Bien Phu reveal how quickly history can turn on a single decision. From classrooms to documentaries, Dien Bien Phu remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Viet Minh besieged French base 1954 — a key part of the story of Dien Bien Phu. | Giap's forces defeated French after 57 days — a key part of the story of Dien Bien Phu. | Ended French colonial rule in Indochina — a key part of the story of Dien Bien Phu. | Led to division of Vietnam — a key part of the story of Dien Bien Phu. | Foreshadowed American involvement — a key part of the story of Dien Bien Phu. | France's last stand. America watched. | The events surrounding Dien Bien Phu reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Dien Bien Phu remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Dien_Bien_Phu.jpg,#DienBienPhu #Vietnam #Colonialism #HistoryTok,France's last stand. America watched. #DienBienPhu #Vietnam #Colonialism #HistoryTok
204,Algerian War of Independence,1 million dead. France LEFT.,"Create a 30-second vertical history short about Algerian War of Independence. Hook: 1 million dead. France LEFT. Cover: FLN fought France 1954-1962 — a key part of the story of Algerian War of Independence. Brutal guerrilla war and torture used — a key part of the story of Algerian War of Independence. Estimated 1 million Algerians died — a key part of the story of Algerian War of Independence. Charles de Gaulle granted independence 1962 — a key part of the story of Algerian War of Independence. Model for anti-colonial struggles — a key part of the story of Algerian War of Independence. 1 million dead. Freedom won. Civilians and soldiers alike bore the devastating human cost of Algerian War of Independence. The consequences of Algerian War of Independence echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",FLN fought France 1954-1962 — a key part of the story of Algerian War of Independence. | Brutal guerrilla war and torture used — a key part of the story of Algerian War of Independence. | Estimated 1 million Algerians died — a key part of the story of Algerian War of Independence. | Charles de Gaulle granted independence 1962 — a key part of the story of Algerian War of Independence. | Model for anti-colonial struggles — a key part of the story of Algerian War of Independence. | 1 million dead. Freedom won. | Civilians and soldiers alike bore the devastating human cost of Algerian War of Independence. | The consequences of Algerian War of Independence echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Algerian_War.jpg,#Algeria #Independence #Colonialism #HistoryTok,1 million dead. Freedom won. #Algeria #Independence #Colonialism #HistoryTok
205,Mau Mau Uprising,Britain's secret TORTURE.,"Create a 30-second vertical history short about Mau Mau Uprising. Hook: Britain's secret TORTURE. Cover: Kenyan rebellion against British rule 1952-1960 — a key part of the story of Mau Mau Uprising. Kikuyu people fought for land and freedom — a key part of the story of Mau Mau Uprising. British used detention camps and torture — a key part of the story of Mau Mau Uprising. Documents declassified revealed atrocities — a key part of the story of Mau Mau Uprising. Kenya independent 1963 — a key part of the story of Mau Mau Uprising. Britain's secret torture camps. Finally exposed. Civilians and soldiers alike bore the devastating human cost of Mau Mau Uprising. The consequences of Mau Mau Uprising echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Kenyan rebellion against British rule 1952-1960 — a key part of the story of Mau Mau Uprising. | Kikuyu people fought for land and freedom — a key part of the story of Mau Mau Uprising. | British used detention camps and torture — a key part of the story of Mau Mau Uprising. | Documents declassified revealed atrocities — a key part of the story of Mau Mau Uprising. | Kenya independent 1963 — a key part of the story of Mau Mau Uprising. | Britain's secret torture camps. Finally exposed. | Civilians and soldiers alike bore the devastating human cost of Mau Mau Uprising. | The consequences of Mau Mau Uprising echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Mau_Mau.jpg,#MauMau #Kenya #Colonialism #HistoryTok,Britain's secret torture camps. Finally exposed. #MauMau #Kenya #Colonialism #HistoryTok
206,Biafran War,Starvation as WEAPON.,"Create a 30-second vertical history short about Biafran War. Hook: Starvation as WEAPON. Cover: Nigerian civil war 1967-1970 — a key part of the story of Biafran War. Biafra seceded over ethnic tensions — a key part of the story of Biafran War. Blockade caused mass starvation — a key part of the story of Biafran War. Images of starving children shocked world — a key part of the story of Biafran War. Created modern humanitarian aid movement — a key part of the story of Biafran War. Starvation used as a weapon. World watched. Civilians and soldiers alike bore the devastating human cost of Biafran War. The consequences of Biafran War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Nigerian civil war 1967-1970 — a key part of the story of Biafran War. | Biafra seceded over ethnic tensions — a key part of the story of Biafran War. | Blockade caused mass starvation — a key part of the story of Biafran War. | Images of starving children shocked world — a key part of the story of Biafran War. | Created modern humanitarian aid movement — a key part of the story of Biafran War. | Starvation used as a weapon. World watched. | Civilians and soldiers alike bore the devastating human cost of Biafran War. | The consequences of Biafran War echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Biafran_war.jpg,#Biafra #Nigeria #CivilWar #HistoryTok,Starvation used as a weapon. World watched. #Biafra #Nigeria #CivilWar #HistoryTok
207,Partition of Poland,Three empires. One country GONE.,"Create a 30-second vertical history short about Partition of Poland. Hook: Three empires. One country GONE. Cover: Poland divided 1772 1793 1795 — a key part of the story of Partition of Poland. Russia Prussia Austria carved it up — a key part of the story of Partition of Poland. Poland disappeared from map for 123 years — a key part of the story of Partition of Poland. Polish culture survived underground — a key part of the story of Partition of Poland. Restored after WWI then invaded again 1939 — a key part of the story of Partition of Poland. A nation erased from the map. The events surrounding Partition of Poland reveal how quickly history can turn on a single decision. From classrooms to documentaries, Partition of Poland remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Poland divided 1772 1793 1795 — a key part of the story of Partition of Poland. | Russia Prussia Austria carved it up — a key part of the story of Partition of Poland. | Poland disappeared from map for 123 years — a key part of the story of Partition of Poland. | Polish culture survived underground — a key part of the story of Partition of Poland. | Restored after WWI then invaded again 1939 — a key part of the story of Partition of Poland. | A nation erased from the map. | The events surrounding Partition of Poland reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Partition of Poland remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Partitions_of_Poland.png,#Poland #EuropeanHistory #Empire #HistoryTok,A nation erased from the map. #Poland #EuropeanHistory #Empire #HistoryTok
208,Easter Rising 1916,Dublin. 6 days. IRELAND changed.,"Create a 30-second vertical history short about Easter Rising 1916. Hook: Dublin. 6 days. IRELAND changed. Cover: Irish republicans seized Dublin April 1916 — a key part of the story of Easter Rising 1916. Held out six days against British forces — a key part of the story of Easter Rising 1916. Leaders executed including Padraig Pearse — a key part of the story of Easter Rising 1916. Executions turned public opinion to independence — a key part of the story of Easter Rising 1916. Led to Irish Free State 1922 — a key part of the story of Easter Rising 1916. Six days. Executions. A nation born. The events surrounding Easter Rising 1916 reveal how quickly history can turn on a single decision. From classrooms to documentaries, Easter Rising 1916 remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Irish republicans seized Dublin April 1916 — a key part of the story of Easter Rising 1916. | Held out six days against British forces — a key part of the story of Easter Rising 1916. | Leaders executed including Padraig Pearse — a key part of the story of Easter Rising 1916. | Executions turned public opinion to independence — a key part of the story of Easter Rising 1916. | Led to Irish Free State 1922 — a key part of the story of Easter Rising 1916. | Six days. Executions. A nation born. | The events surrounding Easter Rising 1916 reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Easter Rising 1916 remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Easter_Rising_1916.jpg,#EasterRising #Ireland #Revolution #HistoryTok,Six days. Executions. A nation born. #EasterRising #Ireland #Revolution #HistoryTok
209,Irish War of Independence,Guerrilla war. Empire BROKE.,"Create a 30-second vertical history short about Irish War of Independence. Hook: Guerrilla war. Empire BROKE. Cover: 1919-1921 IRA vs British forces — a key part of the story of Irish War of Independence. Michael Collins led guerrilla campaign — a key part of the story of Irish War of Independence. Black and Tans terrorized civilians — a key part of the story of Irish War of Independence. Anglo-Irish Treaty 1921 partitioned island — a key part of the story of Irish War of Independence. Civil war followed over treaty terms — a key part of the story of Irish War of Independence. Guerrilla war broke an empire. Civilians and soldiers alike bore the devastating human cost of Irish War of Independence. The consequences of Irish War of Independence echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",1919-1921 IRA vs British forces — a key part of the story of Irish War of Independence. | Michael Collins led guerrilla campaign — a key part of the story of Irish War of Independence. | Black and Tans terrorized civilians — a key part of the story of Irish War of Independence. | Anglo-Irish Treaty 1921 partitioned island — a key part of the story of Irish War of Independence. | Civil war followed over treaty terms — a key part of the story of Irish War of Independence. | Guerrilla war broke an empire. | Civilians and soldiers alike bore the devastating human cost of Irish War of Independence. | The consequences of Irish War of Independence echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Irish_War_of_Independence.jpg,#IrishIndependence #Ireland #Revolution #HistoryTok,Guerrilla war broke an empire. #IrishIndependence #Ireland #Revolution #HistoryTok
210,Good Friday Agreement,Peace after 30 YEARS.,"Create a 30-second vertical history short about Good Friday Agreement. Hook: Peace after 30 YEARS. Cover: Signed April 10 1998 Northern Ireland — a key part of the story of Good Friday Agreement. Ended decades of Troubles violence — a key part of the story of Good Friday Agreement. Power-sharing between unionists and nationalists — a key part of the story of Good Friday Agreement. Referendums passed in both Irelands — a key part of the story of Good Friday Agreement. Still fragile but holding — a key part of the story of Good Friday Agreement. 30 years of terror. One agreement. Peace. The events surrounding Good Friday Agreement reveal how quickly history can turn on a single decision. From classrooms to documentaries, Good Friday Agreement remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Signed April 10 1998 Northern Ireland — a key part of the story of Good Friday Agreement. | Ended decades of Troubles violence — a key part of the story of Good Friday Agreement. | Power-sharing between unionists and nationalists — a key part of the story of Good Friday Agreement. | Referendums passed in both Irelands — a key part of the story of Good Friday Agreement. | Still fragile but holding — a key part of the story of Good Friday Agreement. | 30 years of terror. One agreement. Peace. | The events surrounding Good Friday Agreement reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Good Friday Agreement remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Good_Friday_Agreement.jpg,#GoodFriday #NorthernIreland #Peace #HistoryTok,30 years of terror. One agreement. Peace. #GoodFriday #NorthernIreland #Peace #HistoryTok
211,Amritsar Massacre,379 killed. Empire EXPOSED.,"Create a 30-second vertical history short about Amritsar Massacre. Hook: 379 killed. Empire EXPOSED. Cover: British troops fired on crowd April 13 1919. Unarmed Indians gathered in Jallianwala Bagh — a key part of the story of Amritsar Massacre. 379 killed over 1,200 wounded — a key part of the story of Amritsar Massacre. General Dyer ordered firing without warning — a key part of the story of Amritsar Massacre. Turning point in Indian independence movement — a key part of the story of Amritsar Massacre. 379 unarmed. One order. Empire doomed. The events surrounding Amritsar Massacre reveal how quickly history can turn on a single decision. From classrooms to documentaries, Amritsar Massacre remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","British troops fired on crowd April 13 1919. | Unarmed Indians gathered in Jallianwala Bagh — a key part of the story of Amritsar Massacre. | 379 killed over 1,200 wounded — a key part of the story of Amritsar Massacre. | General Dyer ordered firing without warning — a key part of the story of Amritsar Massacre. | Turning point in Indian independence movement — a key part of the story of Amritsar Massacre. | 379 unarmed. One order. Empire doomed. | The events surrounding Amritsar Massacre reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Amritsar Massacre remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Jallianwala_Bagh.jpg,#Amritsar #IndianHistory #BritishEmpire #HistoryTok,379 unarmed. One order. Empire doomed. #Amritsar #IndianHistory #BritishEmpire #HistoryTok
212,Salt March,One man. One SALT.,"Create a 30-second vertical history short about Salt March. Hook: One man. One SALT. Cover: Gandhi marched 240 miles to sea March 1930. Protested British salt monopoly and tax — a key part of the story of Salt March. Thousands joined making salt illegally — a key part of the story of Salt March. Nonviolent civil disobedience at its peak — a key part of the story of Salt March. Global symbol of resistance to empire — a key part of the story of Salt March. 240 miles for salt. Changed a nation. The events surrounding Salt March reveal how quickly history can turn on a single decision. From classrooms to documentaries, Salt March remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Gandhi marched 240 miles to sea March 1930. | Protested British salt monopoly and tax — a key part of the story of Salt March. | Thousands joined making salt illegally — a key part of the story of Salt March. | Nonviolent civil disobedience at its peak — a key part of the story of Salt March. | Global symbol of resistance to empire — a key part of the story of Salt March. | 240 miles for salt. Changed a nation. | The events surrounding Salt March reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Salt March remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Salt_March.jpg,#SaltMarch #Gandhi #IndianHistory #HistoryTok,240 miles for salt. Changed a nation. #SaltMarch #Gandhi #IndianHistory #HistoryTok
213,Quit India Movement,Do or DIE.,"Create a 30-second vertical history short about Quit India Movement. Hook: Do or DIE. Cover: Gandhi launched August 1942 during WWII — a key part of the story of Quit India Movement. Demand immediate British withdrawal — a key part of the story of Quit India Movement. Mass arrests including all Congress leaders — a key part of the story of Quit India Movement. Underground resistance continued — a key part of the story of Quit India Movement. Accelerated path to independence 1947 — a key part of the story of Quit India Movement. Do or die. India did. The events surrounding Quit India Movement reveal how quickly history can turn on a single decision. From classrooms to documentaries, Quit India Movement remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Gandhi launched August 1942 during WWII — a key part of the story of Quit India Movement. | Demand immediate British withdrawal — a key part of the story of Quit India Movement. | Mass arrests including all Congress leaders — a key part of the story of Quit India Movement. | Underground resistance continued — a key part of the story of Quit India Movement. | Accelerated path to independence 1947 — a key part of the story of Quit India Movement. | Do or die. India did. | The events surrounding Quit India Movement reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Quit India Movement remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Quit_India_Movement.jpg,#QuitIndia #Gandhi #IndianHistory #HistoryTok,Do or die. India did. #QuitIndia #Gandhi #IndianHistory #HistoryTok
214,Bangladesh Liberation War,3 million dead. One NATION born.,"Create a 30-second vertical history short about Bangladesh Liberation War. Hook: 3 million dead. One NATION born. Cover: East Pakistan fought West Pakistan 1971 — a key part of the story of Bangladesh Liberation War. Estimated 3 million killed in genocide — a key part of the story of Bangladesh Liberation War. India intervened and Bangladesh born December 1971 — a key part of the story of Bangladesh Liberation War. War crimes trials continue today — a key part of the story of Bangladesh Liberation War. Created eighth most populous nation — a key part of the story of Bangladesh Liberation War. 3 million dead. One nation born. Civilians and soldiers alike bore the devastating human cost of Bangladesh Liberation War. The consequences of Bangladesh Liberation War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",East Pakistan fought West Pakistan 1971 — a key part of the story of Bangladesh Liberation War. | Estimated 3 million killed in genocide — a key part of the story of Bangladesh Liberation War. | India intervened and Bangladesh born December 1971 — a key part of the story of Bangladesh Liberation War. | War crimes trials continue today — a key part of the story of Bangladesh Liberation War. | Created eighth most populous nation — a key part of the story of Bangladesh Liberation War. | 3 million dead. One nation born. | Civilians and soldiers alike bore the devastating human cost of Bangladesh Liberation War. | The consequences of Bangladesh Liberation War echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bangladesh_Liberation_War.jpg,#Bangladesh #Independence #SouthAsia #HistoryTok,3 million dead. One nation born. #Bangladesh #Independence #SouthAsia #HistoryTok
215,Partition of Bengal,Lines drawn. Millions DISPLACED.,"Create a 30-second vertical history short about Partition of Bengal. Hook: Lines drawn. Millions DISPLACED. Cover: British partitioned Bengal 1905 and 1947 — a key part of the story of Partition of Bengal. 1947 partition split India and Pakistan — a key part of the story of Partition of Bengal. 10-20 million displaced largest migration ever — a key part of the story of Partition of Bengal. 1-2 million killed in communal violence — a key part of the story of Partition of Bengal. Borders still cause tension today — a key part of the story of Partition of Bengal. Lines on a map. Millions displaced. The events surrounding Partition of Bengal reveal how quickly history can turn on a single decision. From classrooms to documentaries, Partition of Bengal remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","British partitioned Bengal 1905 and 1947 — a key part of the story of Partition of Bengal. | 1947 partition split India and Pakistan — a key part of the story of Partition of Bengal. | 10-20 million displaced largest migration ever — a key part of the story of Partition of Bengal. | 1-2 million killed in communal violence — a key part of the story of Partition of Bengal. | Borders still cause tension today — a key part of the story of Partition of Bengal. | Lines on a map. Millions displaced. | The events surrounding Partition of Bengal reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Partition of Bengal remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Partition_of_India_map.jpg,#Partition #SouthAsia #Independence #HistoryTok,Lines on a map. Millions displaced. #Partition #SouthAsia #Independence #HistoryTok
